ID,Original_FR,Conflicting_FR,Predicted_Label,Semantic_Tuple_A,Semantic_Tuple_B,Resolution
213,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"""The leads washing functionality shall receive a list of available reps from the local sales management system.""",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""leads washing functionality"",
  ""Operation"": ""receive"",
  ""Input"": ""period list of available reps from the enterprise system"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""leads washing functionality"",
  ""Operation"": ""receive"",
  ""Input"": ""a list of available reps"",
  ""Output"": ""null"",
  ""Restriction"": ""from the local sales management system""
}
```","1. Modify the ""Input"" element in Requirement A to specify ""a list of available reps from either the enterprise system or the local sales management system.""  
2. Modify the ""Restriction"" element in Requirement B to include ""if the enterprise system is unavailable.""  
3. Modify both requirements to include a ""Priority"" condition specifying which system to use first when both are available.  "
214,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,"The leads washing functionality shall process the lead data without requiring the original lead details, using only a unique transaction identifier provided by the vendor.",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""return"",
  ""Input"": ""lead data supplied to the vendor"",
  ""Output"": ""lead data supplied to the vendor along with the reason of rejection"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""process the lead data"",
  ""Input"": ""unique transaction identifier provided by the vendor"",
  ""Output"": ""processed lead data"",
  ""Restriction"": ""without requiring the original lead details""
}
```","1. Modify Requirement A's ""Input"" to accept a unique transaction identifier instead of the original lead data.  
2. Adjust Requirement B's ""Output"" to include the reason for rejection along with the processed lead data.  
3. Add a shared ""Restriction"" to both requirements specifying that original lead details can only be used internally and not required for processing.  "
215,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,"If the leads washing functionality is selected, the system shall use the parameters supplied by the regional sales teams and partners to score the entire lead.",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""leads washing functionality"",
  ""Operation"": ""use"",
  ""Input"": ""parameters supplied by corporate and schools"",
  ""Output"": ""scored part of the lead"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""If the leads washing functionality is selected"",
  ""Agent"": ""the system"",
  ""Operation"": ""use the parameters supplied by the regional sales teams and partners to score the entire lead"",
  ""Input"": ""parameters supplied by the regional sales teams and partners"",
  ""Output"": ""scored lead"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Input"" in Requirement A to include parameters from regional sales teams and partners in addition to corporate and schools.  
2. Modify the ""Output"" in Requirement A to score the entire lead instead of part of the lead.  
3. Add a ""Condition"" to Requirement B specifying that parameters from corporate and schools should also be used when scoring the lead.  "
216,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,The maximum number of concurrently running units must be read from the initialization file and replicated in the THEMAS system.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""read and store"",
  ""Input"": ""maximum number of concurrently running units from the initialization file"",
  ""Output"": ""maximum number of concurrently running units stored in the THEMAS system"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""read and replicate"",
  ""Input"": ""maximum number of concurrently running units from the initialization file"",
  ""Output"": ""maximum number of concurrently running units in the THEMAS system"",
  ""Restriction"": ""null""
}
```","1. Modify the operation in Requirement A to ""read and replicate"" to align with Requirement B.  
2. Modify the operation in Requirement B to ""read and store"" to align with Requirement A.  
3. Combine both requirements by specifying the operation as ""read, store, and replicate"" to ensure consistency.  "
217,The OPENCOSS platform must provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project only once.,The OPENCOSS platform shall provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""OPENCOSS platform"",
  ""Operation"": ""provide users with the ability to modify the intermediate nodes in the tree-view"",
  ""Input"": ""evidence items of an assurance project"",
  ""Output"": ""modified intermediate nodes in the tree-view for display"",
  ""Restriction"": ""only once""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""OPENCOSS platform"",
  ""Operation"": ""provide users with the ability to modify"",
  ""Input"": ""intermediate nodes in the tree-view for display of the evidence items of an assurance project"",
  ""Output"": ""modified intermediate nodes in the tree-view"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Restriction"" in Requirement A to remove ""only once"" and align it with Requirement B.  
2. Add the ""Restriction"" of ""only once"" from Requirement A to Requirement B for consistency.  
3. Introduce a new ""Restriction"" explicitly allowing configuration of the modification frequency in both requirements.  "
218,The OPENCOSS platform shall be able to automatically associate an artefact in an external tool to an evidence item of an assurance project imported from the external tool.,The OPENCOSS platform must be able to automatically indicate the tool that stores the artefact associated to an evidence item of an assurance project imported from external tool.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""OPENCOSS platform"",
  ""Operation"": ""automatically associate"",
  ""Input"": ""an artefact in an external tool and an evidence item of an assurance project imported from the external tool"",
  ""Output"": ""association between the artefact and the evidence item"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""OPENCOSS platform"",
  ""Operation"": ""automatically indicate"",
  ""Input"": ""artefact associated to an evidence item of an assurance project imported from external tool"",
  ""Output"": ""tool that stores the artefact"",
  ""Restriction"": ""null""
}
```","1. Modify the **Output** of Requirement A to include the tool that stores the artefact as part of the association information.  
2. Modify the **Operation** of Requirement B to include both associating and indicating the tool in a single automated step.  
3. Add a **Restriction** to both requirements specifying that the indication of the tool and the association must occur simultaneously.  "
219,The OPENCOSS platform shall provide users with the choice to drop evidence traceability links of an assurance project.,The OPENCOSS platform shall provide users with the ability to drop evidence traceability links of an assurance project.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""OPENCOSS platform"",
  ""Operation"": ""provide users with the choice to drop evidence traceability links"",
  ""Input"": ""evidence traceability links of an assurance project"",
  ""Output"": ""users have the choice to drop evidence traceability links"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""OPENCOSS platform"",
  ""Operation"": ""provide users with the ability to drop evidence traceability links"",
  ""Input"": ""evidence traceability links of an assurance project"",
  ""Output"": ""users have the ability to drop evidence traceability links"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Operation"" in Requirement A to align with Requirement B by replacing ""provide users with the choice"" with ""provide users with the ability.""  
2. Modify the ""Output"" in Requirement B to align with Requirement A by replacing ""users have the ability"" with ""users have the choice.""  
3. Combine both requirements into a single statement by modifying the ""Operation"" to say ""provide users with the choice and ability to drop evidence traceability links.""  "
220,The product shall display a map of the company building showing conference room locations.,"When the user requests the map of the company building, the system shall require the user to input a specific conference room number to proceed.",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""display"",
  ""Input"": ""map of the company building showing conference room locations"",
  ""Output"": ""map of the company building showing conference room locations"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""When the user requests the map of the company building"",
  ""Agent"": ""the system"",
  ""Operation"": ""require the user to input a specific conference room number"",
  ""Input"": ""a specific conference room number"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","1. Modify Requirement B's condition to allow the map to be displayed without requiring a specific conference room number when the user requests a general map view.  
2. Adjust Requirement A's operation to include an optional step for the user to input a specific conference room number for a focused map view.  
3. Update Requirement B's output to display the map of the company building with a highlighted conference room when a specific number is provided.  "
221,The product shall display room equipment according to search parameters.,"The system shall display room equipment from a pre-defined, static list and ignore all user-provided search parameters.",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""display"",
  ""Input"": ""search parameters"",
  ""Output"": ""room equipment"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""The system"",
  ""Operation"": ""display"",
  ""Input"": ""room equipment from a pre-defined, static list"",
  ""Output"": ""room equipment displayed"",
  ""Restriction"": ""ignore all user-provided search parameters""
}
```","1. Modify Requirement A's ""Input"" to specify that search parameters are optional and may be overridden by a static list.  
2. Modify Requirement B's ""Restriction"" to allow user-provided search parameters if no static list is available.  
3. Combine both requirements by creating a new ""Condition"" that prioritizes static lists but falls back to search parameters when necessary.  "
222,The supervisor¡¯s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.,The supervisor¡¯s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a dynamic summary report.,Output Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""supervisor"",
  ""Operation"": ""provide a mechanism to select"",
  ""Input"": ""operational history report or statistical summary report"",
  ""Output"": ""selection between an operational history report or a statistical summary report"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""supervisor¡¯s interface to the THEMAS system"",
  ""Operation"": ""provide a mechanism to select"",
  ""Input"": ""null"",
  ""Output"": ""selection between an operational history report or a dynamic summary report"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Output"" element in Requirement A to include ""dynamic summary report"" instead of ""statistical summary report.""  
2. Modify the ""Output"" element in Requirement B to include ""statistical summary report"" instead of ""dynamic summary report.""  
3. Combine both requirements into a single unified requirement where the ""Output"" element specifies ""selection between an operational history report, a statistical summary report, or a dynamic summary report.""  "
223,The supervisor¡¯s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.,The supervisor¡¯s interface shall provide a mechanism to select between an operational history report or a dynamic summary report.,Output Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""supervisor"",
  ""Operation"": ""provide a mechanism to select"",
  ""Input"": ""operational history report or statistical summary report"",
  ""Output"": ""selected report"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""provide a mechanism to select"",
  ""Input"": ""null"",
  ""Output"": ""selection between an operational history report or a dynamic summary report"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Input"" element in Requirement A to include ""dynamic summary report"" alongside ""statistical summary report.""  
2. Clarify the ""Agent"" element in Requirement B to specify ""supervisor"" for consistency with Requirement A.  
3. Standardize the ""Output"" element in both requirements to state ""selected report"" for uniformity.  "
224,The system shall allow clinicians to create patient lists for who can sign or cosign for each other.,The system shall only allow clinicians to create patient lists for who can sign or cosign for each other.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""the system"",
  ""Operation"": ""allow clinicians to create patient lists"",
  ""Input"": ""patient information and permissions for signing or cosigning"",
  ""Output"": ""patient lists indicating who can sign or cosign for each other"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""clinicians"",
  ""Operation"": ""create patient lists"",
  ""Input"": ""who can sign or cosign for each other"",
  ""Output"": ""patient lists"",
  ""Restriction"": ""only allow""
}
```","1. Modify the restriction in Requirement A to include ""only allow"" to align with Requirement B.  
2. Adjust the agent in Requirement B to specify ""the system"" instead of ""clinicians"" for consistency with Requirement A.  
3. Harmonize the input in both requirements to explicitly state ""patient information and permissions for signing or cosigning.""  "
225,The system shall allow concurrent membership in more than one User Class.,The system shall allow membership in only one User Class.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow"",
  ""Input"": ""concurrent membership in more than one User Class"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow"",
  ""Input"": ""membership"",
  ""Output"": ""membership in only one User Class"",
  ""Restriction"": ""only one User Class""
}
```","1. Modify the constraint in Requirement B to allow membership in multiple User Classes with restrictions on simultaneous activity.  
2. Adjust the operation in Requirement A to specify conditional concurrent membership based on predefined rules.  
3. Add a restriction to Requirement A that limits concurrent membership to specific User Classes or roles.  "
226,The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles.,The system shall allow document types to inherit authorizations from other levels when using classes to assign roles.,Restriction Conflict,"```json
{
  ""Event"": ""when using classes to assign roles"",
  ""Agent"": ""the system"",
  ""Operation"": ""allow document types to inherit authorizations"",
  ""Input"": ""document types and authorizations from a higher level"",
  ""Output"": ""document types inherit authorizations from a higher level"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""when using classes to assign roles"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow document types to inherit authorizations"",
  ""Input"": ""document types and authorizations from other levels"",
  ""Output"": ""document types inherit authorizations from other levels"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Input"" in Requirement A to include ""authorizations from other levels"" instead of ""a higher level.""  
2. Modify the ""Input"" in Requirement B to specify ""authorizations from a higher level"" instead of ""other levels.""  
3. Add a ""Restriction"" to both requirements to clarify whether inheritance from multiple levels is allowed or restricted.  "
227,The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure.,The system shall allow 100 hierarchies of subclasses to be created in the User Hierarchy Class structure.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow"",
  ""Input"": ""creation of infinite hierarchies of subclasses in the User Hierarchy Class structure"",
  ""Output"": ""infinite hierarchies of subclasses created in the User Hierarchy Class structure"",
  ""Restriction"": ""infinite hierarchies""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow to be created"",
  ""Input"": ""User Hierarchy Class structure"",
  ""Output"": ""100 hierarchies of subclasses"",
  ""Restriction"": ""100 hierarchies""
}
```","1. Modify the constraint in Requirement A to specify a maximum of 100 hierarchies instead of infinite hierarchies.  
2. Modify the constraint in Requirement B to allow an unlimited number of hierarchies instead of restricting it to 100.  
3. Add a condition to both requirements to dynamically adjust the hierarchy limit based on system performance or scalability.  "
228,The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall allow physician offices to only use social security numbers to identify patients.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""physician offices"",
  ""Operation"": ""use"",
  ""Input"": ""social security numbers or medical record numbers"",
  ""Output"": ""identify patients"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""physician offices"",
  ""Operation"": ""use social security numbers to identify patients"",
  ""Input"": ""social security numbers"",
  ""Output"": ""patients identified"",
  ""Restriction"": ""only""
}
```","1. Modify the constraint in Requirement B to remove ""only,"" allowing both social security numbers and medical record numbers to identify patients.  
2. Modify the input in Requirement A to remove ""medical record numbers,"" aligning it with Requirement B to only use social security numbers.  
3. Add a condition to Requirement A specifying that physician offices can use medical record numbers only if social security numbers are unavailable.  "
229,The system shall allow several orders to be placed with the ability for a user to sign for them all at once.,The system must allow several orders to be placed with the ability for a user to sign for them all at once.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow several orders to be placed with the ability for a user to sign for them all at once"",
  ""Input"": ""several orders"",
  ""Output"": ""orders placed and signed for all at once"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""user"",
  ""Operation"": ""sign for orders"",
  ""Input"": ""several orders placed"",
  ""Output"": ""all orders signed at once"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Agent"" element in Requirement A to specify ""user"" as the agent.  
2. Align the ""Operation"" element in Requirement B to match the phrasing in Requirement A for consistency.  
3. Ensure the ""Output"" element in both requirements explicitly states ""orders placed and signed for all at once"" for clarity.  "
230,The system shall allow user classes to be used across VistA to replace and/or complement security keys.,The system shall not allow user classes to be used across VistaA to replace and/or complement security keys.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow"",
  ""Input"": ""user classes"",
  ""Output"": ""user classes to be used across VistA to replace and/or complement security keys"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""The system"",
  ""Operation"": ""shall not allow"",
  ""Input"": ""user classes to be used across VistaA to replace and/or complement security keys"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","1. Modify the operation in Requirement A to specify that user classes can only complement, but not replace, security keys.  
2. Add a condition to Requirement B allowing user classes to be used across VistA only if they meet predefined security standards.  
3. Introduce a restriction in both requirements to clarify scenarios where user classes are permitted or prohibited for replacing security keys.  "
231,The system shall allow users to enter time in several different formats.,"The system shall require times to be entered as a 24-hour time, not with a 12-hour clock and an a.m. and p.m.",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""allow users to enter time"",
  ""Input"": ""time in several different formats"",
  ""Output"": ""null"",
  ""Restriction"": ""several different formats""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""require times to be entered"",
  ""Input"": ""times to be entered"",
  ""Output"": ""null"",
  ""Restriction"": ""times must be entered as a 24-hour time, not with a 12-hour clock and an a.m. and p.m.""
}
```","1. Modify Requirement A's restriction to specify that ""several different formats"" includes 24-hour time as a mandatory option.  
2. Modify Requirement B's restriction to allow 24-hour time as the default format while permitting additional formats optionally.  
3. Add a condition to both requirements specifying that the input format can be dynamically configured based on user preferences or regional settings.  "
232,The system shall allow users who hold any of the ORES/ORELSE/PROVIDER keys to be viewed as a clinical user and has full access privileges to all problem list options.,The system shall only allow clinical users to have full access privileges to all problem list options.,Agent Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""system"",
  ""Operation"": ""allow users who hold any of the ORES/ORELSE/PROVIDER keys to be viewed as a clinical user and have full access privileges to all problem list options"",
  ""Input"": ""users who hold any of the ORES/ORELSE/PROVIDER keys"",
  ""Output"": ""users are viewed as clinical users and have full access privileges to all problem list options"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""system"",
  ""Operation"": ""allow"",
  ""Input"": ""clinical users"",
  ""Output"": ""full access privileges to all problem list options"",
  ""Restriction"": ""only clinical users""
}
```","1. Modify Requirement A's input to specify ""users who hold any of the ORES/ORELSE/PROVIDER keys and are clinical users.""  
2. Add a constraint to Requirement A stating ""users must be verified as clinical users before being viewed as clinical users.""  
3. Modify Requirement B's restriction to include ""users holding ORES/ORELSE/PROVIDER keys who meet clinical user criteria.""  "
233,"The system shall check ICD and CPT code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.","The system shall only check ICD code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.",Input Conflict,"```json
{
  ""Event"": ""when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option"",
  ""Agent"": ""The system"",
  ""Operation"": ""check ICD and CPT code validity"",
  ""Input"": ""ICD and CPT codes, specified date"",
  ""Output"": ""verification of code validity"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option"",
  ""Agent"": ""the system"",
  ""Operation"": ""check ICD code validity"",
  ""Input"": ""ICD codes and specified date"",
  ""Output"": ""validation result of ICD codes"",
  ""Restriction"": ""only as of a specified date""
}
```","1. Modify the ""Operation"" in Requirement B to include CPT code validity alongside ICD code validity.  
2. Add a ""Restriction"" to Requirement A specifying validation is performed only as of a specified date.  
3. Adjust the ""Input"" in Requirement B to include both ICD and CPT codes.  "
234,The system shall delete history of received immunizations.,The system shall only delete history of recieved immunizations unless user specifies,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""delete"",
  ""Input"": ""history of received immunizations"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""the system"",
  ""Operation"": ""delete"",
  ""Input"": ""history of received immunizations"",
  ""Output"": ""null"",
  ""Restriction"": ""unless user specifies""
}
```","1. Modify the restriction in Requirement A to ""unless user specifies.""  
2. Clarify the agent in Requirement A as ""the system.""  
3. Add a condition to Requirement B specifying when the deletion should occur.  "
235,The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,The system shall display a message of possible matches if more than one match is found when a user partially enters a patient's name and last four digits of a social security number.,Event Conflict,"```json
{
  ""Event"": ""if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers"",
  ""Agent"": ""the system"",
  ""Operation"": ""display a box listing possible matches"",
  ""Input"": ""more than one patient with the same last name and same last four digits of the social security numbers"",
  ""Output"": ""a box listing possible matches"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""if more than one match is found when a user partially enters a patient's name and last four digits of a social security number"",
  ""Agent"": ""The system"",
  ""Operation"": ""display a message of possible matches"",
  ""Input"": ""a patient's name and last four digits of a social security number partially entered by a user"",
  ""Output"": ""a message of possible matches"",
  ""Restriction"": ""more than one match is found""
}
```","1. Modify the operation in Requirement A to ""display a message of possible matches"" for consistency with Requirement B.  
2. Adjust the condition in Requirement B to ""if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers"" for alignment with Requirement A.  
3. Standardize the output in both requirements to ""a list of possible matches"" to unify the format of the displayed information.  "
236,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,"If the inventory adjustment is initiated manually, the System shall generate the Inventory Quantity Adjustment document based on user-input scrap and loss values from the daily production log.",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""The System"",
  ""Operation"": ""generate"",
  ""Input"": ""product daily sales data and product formulas"",
  ""Output"": ""Inventory Quantity Adjustment document"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""If the inventory adjustment is initiated manually"",
  ""Agent"": ""System"",
  ""Operation"": ""generate the Inventory Quantity Adjustment document"",
  ""Input"": ""user-input scrap and loss values from the daily production log"",
  ""Output"": ""Inventory Quantity Adjustment document"",
  ""Restriction"": ""null""
}
```","1. Modify the condition in Requirement B to clarify whether manual initiation overrides automated adjustment or coexists with it.  
2. Adjust the input in Requirement A to explicitly include or exclude user-input data from manual adjustments.  
3. Add a restriction to both requirements to specify scenarios where one adjustment method takes precedence over the other.  "
237,The system shall improve efficiency of entering orders.,The system shall improve efficiency of entering orders by atleast 20 percent.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""improve efficiency"",
  ""Input"": ""orders"",
  ""Output"": ""efficiency of entering orders"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""improve efficiency of entering orders"",
  ""Input"": ""orders"",
  ""Output"": ""improved efficiency of entering orders"",
  ""Restriction"": ""by at least 20 percent""
}
```","1. Modify Requirement A to include the restriction ""by at least 20 percent"" in its structure.  
2. Modify Requirement B to generalize the restriction to ""improved efficiency"" without specifying a percentage.  
3. Combine both requirements into a single requirement stating, ""The system shall improve efficiency of entering orders, targeting at least a 20 percent improvement where feasible.""  "
238,The system shall include Standard Laboratory and Medication orderable files.,The system shall include non-Standard Laboratory and Medication orderable files.,Restriction Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""include"",
  ""Input"": ""null"",
  ""Output"": ""Standard Laboratory and Medication orderable files"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""include"",
  ""Input"": ""non-Standard Laboratory and Medication orderable files"",
  ""Output"": ""null"",
  ""Restriction"": ""null""
}
```","1. Modify the ""Output"" of Requirement A to explicitly state whether it excludes or includes non-Standard files.  
2. Modify the ""Input"" of Requirement B to clarify the relationship or distinction from Standard files.  
3. Add a ""Restriction"" to both requirements to define conditions under which Standard and non-Standard files are included.  "
239,The system shall indicate that the record is sensitive and may only be viewed by authorized users.,The system shall indicate that a record is sensitive and may only be viewed by authorized users only if the user is not authorized.,Event Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""indicate"",
  ""Input"": ""the record is sensitive"",
  ""Output"": ""may only be viewed by authorized users"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""if the user is not authorized"",
  ""Agent"": ""the system"",
  ""Operation"": ""indicate"",
  ""Input"": ""a record is sensitive and may only be viewed by authorized users"",
  ""Output"": ""indication that a record is sensitive and access is restricted"",
  ""Restriction"": ""null""
}
```","1. Modify Requirement A's condition to specify ""if the user is not authorized"" for clarity and alignment with Requirement B.  
2. Adjust Requirement B's output to explicitly state ""may only be viewed by authorized users"" for consistency with Requirement A.  
3. Remove the condition ""if the user is not authorized"" from Requirement B to align with the unconditional approach in Requirement A.  "
240,The system shall locate the preferred repair facility with the highest ratings for the input criteria,"""The system shall locate the preferred repair facility using only the pre-configured default criteria, ignoring any user-inputted rating preferences.""",Input Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""the system"",
  ""Operation"": ""locate"",
  ""Input"": ""the preferred repair facility and the input criteria"",
  ""Output"": ""the preferred repair facility with the highest ratings"",
  ""Restriction"": ""null""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""The system"",
  ""Operation"": ""locate the preferred repair facility"",
  ""Input"": ""pre-configured default criteria"",
  ""Output"": ""preferred repair facility"",
  ""Restriction"": ""ignoring any user-inputted rating preferences""
}
```","1. Modify the input of Requirement A to include both user-inputted criteria and pre-configured default criteria.  
2. Modify the restriction of Requirement B to allow user-inputted rating preferences to override default criteria if provided.  
3. Modify the operation of both requirements to prioritize combining user-inputted and default criteria for locating the facility.  "
241,The system shall mimic traditional order entry processes where necessary to accommodate established clinical practices.,The system shall make the traditional order entry processes more practical.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""the system"",
  ""Operation"": ""mimic traditional order entry processes"",
  ""Input"": ""established clinical practices"",
  ""Output"": ""null"",
  ""Restriction"": ""where necessary""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""make the traditional order entry processes more practical"",
  ""Input"": ""traditional order entry processes"",
  ""Output"": ""more practical traditional order entry processes"",
  ""Restriction"": ""null""
}
```","1. Modify the restriction in Requirement A to explicitly state the conditions under which traditional order entry processes should be mimicked.  
2. Clarify the agent in Requirement B to specify that the system is responsible for making the processes more practical.  
3. Add a condition to Requirement B to ensure practicality improvements align with established clinical practices.  "
242,The system shall not allow mandatory notifications to be disabled.,The system shall allow users to disable unwanted notifications as desired.,Operation Conflict,"```json
{
  ""Event"": ""null"",
  ""Agent"": ""unspecified agent"",
  ""Operation"": ""not allow"",
  ""Input"": ""mandatory notifications"",
  ""Output"": ""null"",
  ""Restriction"": ""to be disabled""
}
```","```json
{
  ""Event"": ""null"",
  ""Agent"": ""users"",
  ""Operation"": ""disable unwanted notifications"",
  ""Input"": ""unwanted notifications"",
  ""Output"": ""notifications are disabled as desired"",
  ""Restriction"": ""null""
}
```","1. Modify Requirement A's ""Restriction"" to specify that only critical mandatory notifications cannot be disabled.  
2. Modify Requirement B's ""Input"" to exclude critical mandatory notifications from the definition of ""unwanted notifications.""  
3. Add a condition to both requirements to clarify that user preferences apply only to non-critical notifications.  "
